sku,selling_price,revenue,elastic
142d63107737a448dc2dfe2dcd0154b8,2036,1365970,2036
1cbaaeb2212bbbe9d458ca9b81d74db7,11439,4392714,11439
3afa2c41341548499934a52d7338f33e,328,246756,328
5a008f40c57611feda53dbd9935e7189,1671,79214,1671
6278f48a43fb0a23036b3a11c92e726c,21611,16770601,21611
763e061fd79190b901082035761a4a83,28239,41490000,28239
767aaeb00eb1c7dd273ba954b3e2f4b8,8638,1105756,8638
ab17bf24039893348f6b9f23753f38ca,1184,215064,1184
b75147feae4cf8ec07fb5f2cef855def,453,1000730,453
eb23a7cc9c97e7cb82c9e69fdaaefe46,1765,51981,1765
